identificador,hashtag
1496261532396757003,votasi
1496261532396757003,liberarce
1496264162317672448,votasi
1496264734307491845,army
1496264734307491845,cinepolis
1496264697930207239,telefuturopy
1496264697930207239,telediariopy
1496264677290086405,votasi
1496258690214612992,votasi
1496258690214612992,votásíuy
1496258690214612992,votarosado
1496258690214612992,lalucnoesuruguay
1496258690214612992,huellarosada
1496258690214612992,cadenadezurdos
1496258690214612992,cadenarosa
1496264162317672448,votasi
1496263795681144834,la609conelsi
1496263795681144834,votasi
1496260873056309254,debatextvciudad
1496263752941203456,votasi
1496263752941203456,debateluc
1496262846560321539,votási
1496262783696097282,ladiariamaldonado
1496264547631616006,ncaabaseball
1496264547631616006,ncaabaseballesp
1496262611784146950,votasi
1496262291586793472,votasi
1496261774827565056,votosi
1496261774827565056,la609conelsi
1496261532396757003,votasi
1496261532396757003,liberarce
1496264499887853573,futbolbase
1496264499887853573,futbolformacion
1496264499887853573,somosacodetti
1496264499887853573,somossimusetti
1496264499887853573,somosnaranja
1496261215714168836,votasi
1496260970682978309,votasi
1496260970682978309,debateluc
1496261774827565056,votosi
1496261774827565056,la609conelsi
1496260970682978309,votasi
1496260970682978309,debateluc
1496264417537048576,temuco
1496259545219440648,votasi
1496259485077225480,votasi
1496259438004551681,votasi
1496264399228739585,futbolbase
1496264399228739585,futbolformacion
1496264399228739585,somosacodetti
1496264399228739585,somossimusetti
1496264399228739585,somosnaranja
1496259346732400640,votasi
1496259298338705411,votasi
1496259213873623040,votasi
1496258881982455809,informecapital
1496258881982455809,debatextvciudad
1496259156264824843,la609conelsi
1496259156264824843,votasi
1496258964660662276,debateluc
1496258964660662276,votasi
1496258690214612992,votasi
1496258690214612992,votásíuy
1496258690214612992,votarosado
1496258690214612992,lalucnoesuruguay
1496258690214612992,huellarosada
1496258690214612992,cadenadezurdos
1496258690214612992,cadenarosa
1496258622174773255,votasi
1496264112036265984,vamoseverton
1496264056642154508,abortolegal
1496264056642154508,fallohistórico
1496258881982455809,informecapital
1496258881982455809,debatextvciudad
1496263969186758657,chame
1496263958877343745,perúocde
1496263958877343745,congresodelarepublica
1496263751447859201,enestudios
1496263751447859201,agendapaís
1496263751447859201,universo970am
1496263722121437184,lluvias
1496263708099870727,coahuila
1496263587496607751,villarreal
1496263587496607751,uefa
1496263587496607751,olivadeportes
1496263587496607751,olivanoticias
1496263587496607751,multimedios
1496263558706913281,cambioclimático
1496263558706913281,carbononeutral2030
1496263558706913281,gcsustentable
1496263533738307585,coahuila
1496263428238942212,candidatosenlaredacción
1496263388707663875,telefuturopy
1496263388707663875,telediariopy
1496263365550878720,acuerdoenpuerta
1496263220117577734,ayusodimision
1496263220117577734,objetivoegea
1496262700841717765,lalibertadoresxoriental770
1496262542880129030,vamossantacruz
1496262521711472640,espnequipof
1496262521711472640,espnenstarplus
1496262461997166594,sacadelmedio
1496262461997166594,atleticomineiro
1496262461997166594,hulk
1496262420280532994,elcapitalismoeselfuego
1496262250721689604,noticia
1496262066092580866,bewithme
1496262066092580866,dimashqudaibergen
1496261818624446464,chelsea
1496261818624446464,lille
1496261818624446464,ucl
1496261818624446464,chelsealille
1496261818624446464,chelosc
1496261774827565056,votosi
1496261774827565056,la609conelsi
1496261699959205888,méxico
1496261379162001413,btsarmy
1496261379162001413,bestfanarmy
1496261379162001413,iheartawards
1496261353266364422,ligadehonorentel
1496261115201953797,macripresidente2023
1496261097468448771,sertvdeportes
1496261075146264580,villarreal
1496261075146264580,juventus
1496261075146264580,championsleague
1496261023157866496,revistacomunicación
1496260951968034819,vamossantacruz
1496260951968034819,adelantehastavencer
1496260737651683333,soloquedavox
1496260441030672384,andatehoyos
1496260436869668867,armado
1496260436869668867,𝐩𝐞𝐥𝐮𝐬𝐨𝐬
1496260436869668867,capturados
1496260436869668867,presuntos
1496260436869668867,extorsiones
1496260436869668867,comerciantes
1496260436869668867,ábrego
1496260436869668867,cúcuta
1496260300659912704,talleres
1496260300303179784,gloriaeterna
1496260300303179784,venezuelaesfutve
1496260155570327554,noticiaw
1496260127221030924,ayusodimision
1496260127221030924,objetivoegea
1496260024624050176,pedrotroglio
1496259783887888394,ayusodimision
1496259783887888394,objetivoegea
1496259758894067720,mundo
1496259758894067720,pareja
1496259758894067720,fuerte
1496259758894067720,críticas
1496259758894067720,convencidos
1496259758894067720,alegría
1496259743693873152,equiparaciónya
1496259743693873152,mismotrabajomismosalario
1496259743693873152,igualdadsalarial
1496259597748871174,soyconspiranoico
1496259488407605254,abrelosojos
