usuario,cantidad
@mencionado,9
@oandradelallana,4375
@altesordaniela,34
@guidomaninirios,2000
@tvciudaduy,428
@mateohoffman3,21
@frente_amplio,463
@coordc_fa,34
@votasiuy,263
@pitcnt1,122
@nomadeconsultuy,14
@facebookwatch,52
@fus_avanza,23
@rualeman,4
@portalmvd,25
@fabriciotvf,132
@fmflorida89_3,60
@facerrolargo,14
@alfredofratti,17
@luciaetchever11,17
@pumasmx,4
@puma_vavel,4
@hectorsales11,4
@manuhoya,4
@cifraconsultora,23
@vmar7,30
@rodrguezemi,30
@marianalorier,20
@gabyrodriguezbu,20
@fafloridauy,66
@cossecarolina,28
@montevideoim,23
@josemacaraballo,21
@pledis_17,4
@marianarep,4
@paoabonilla,4
@tatisabini,25
@oscaralfrente,12
@dcaggiani,12
@svaldomir609,12
@sandralazo2,12
@pachasanchez,29
@gabrieloteroa,24
@chcarreraleal,12
@frenteamplio,15
@asambleacr,7
@omarpaganini,10
@alferdez,4
@iara_roberto,4
@susanaaguayo12,4
@elpaisuy,21
@cnh_mx,4
@elsagarciad,4
@primerabdechile,8
@markocortes,4
@genovevahuerta,4
@tepjf_informa,4
@libertadores,15
@cindyruiz9,4
@minerosfc,8
@municipiovalpo,4
@minpublicopy,4
@diario_16,4
@ricardosaponare,4
@soysanlorenzo__,4
@cirujanomb,4
@alebrijesoaxaca,4
@evertonsadp,4
@idiazayuso,10
@fluminensefc,4
@millosfcoficial,4
@365scoresapp,4
@convencioncl,4
@lucasilardo,4
@frentedetodos,4
@kattyagonzalez9,4
@eldialp,4
@mlauralosi,4
@ballesterdani,4
@c5n,4
@luceromexico,4
@fiscaliacol,4
@policiabmanga,4
@unab_online,4
@corrientesgob,4
@elfrente_amplio,5
@sesnaola,4
@hotelmykonos,4
@arenapuebla,4
@arizonabaseball,4
@gcu_baseball,4
@pedrocastillote,4
@acodetticf,4
@gruposuim,8
@simusetticf,4
@cconstitucional,8
@rafasabonge,4
@moppma,4
@bts_twt,8
@tadeogz,3
@uadec,3
@salvadorhv,3
@marcelaholguin,3
@partidoliberal,5
@antoniomaestre,3
@osvaldojaldo,3
@periodistasba,3
@violetasiprebo,3
@plazacolonia,3
@clubstrongest,3
@oriental770,3
@carlosbardakian,3
@lorenzottiok,3
@cgustavo007,3
@matyvallejo,3
@polacomendez,3
@mariuvidal,3
@unimet,3
@potus,3
@hillaryclinton,3
@billclinton,3
@secblinken,3
@anneapplebaum,3
@dimash_official,3
@bancolombia,3
@juanmanuelgalan,5
@jorgeemiliorey,3
@rebirthe_sports,3
@movistaroptix,3
@mauriciomacri,3
@concacaf,3
@coloradorapids,3
@niusdiario,3
@gaulapolicia,3
@felipemiguelba,3
@claramuzzio,3
@justiciaet,3
@amserrano2,3
@rubend_bayona,3
@maryaristizabal,3
@monagas_sc,3
@normaltrevino,3
@castillon_jh,3
@rfef,3
@deyc_guadalupe,3
@municipiodegpe,3
@cicmty,3
@josuegonzaleztv,3
@wilsonsotof,3
@minpublicoven,3
@villegaspoljak,3
@ceballosichaso1,3
