usuario,cantidad
user,0
gloriaymelgar,0
ta_dije,4
fmflorida89_3,35
taniadelche,2
tvflorida,41
flor_cue,0
crmermelstein,0
sandras15947989,0
mor_ticia,2
profcollette,13
cavanamoon,3
jjavierdeleon,3
culovich2,0
canaltevemas,3
msartiguista,3
noeolipasi,2
nahueldaluz,0
oandradelallana,3
paulino03555904,0
tvciudaduy,3
joranfer17,0
bientwitero,0
googubgjoob,0
yacasinosoy,0
zdel81,0
dimtteeo,1
4ta_reivajcuchu,0
_pabloggg,0
sison1959,2
ladiaria,1
renovainfouy,3
sebagardener,0
ferchu1001,6
fiscalhonorario,2
exnihilus,0
elpaisuy,5
rialgi,0
robertolrey,1
bigbo_politics,1
antoniooglio,0
frente_amplio,3
ffleita,12
ximshhxt,0
lia_pucciano,1
roberto36300088,0
zully_silva,2
gabrieu_el,0
juanchoriental,1
nefridio,0
venceremosfa,0
jade310522,0
lysoy4,0
sandrax25444555,0
cabvuy,10
tinchodr4,0
mauro_norge,0
sergiocasales,1
walterhaguilarp,0
_maxbarraza,0
melofederico,1
donaldd20173924,0
caballerodep,0
enricoves,0
paty78,0
darioelque,0
vivizlesbians,0
evelyn23714000,0
martn40375074,0
fvargasfoto,0
ootabare,5
elpenela,2
raulglfc1915,3
natygrisy35,0
martinaldaya,12
casablanca1109,0
tickie18,0
liberarceuy,4
salangox100pre,0
noctvrnalsyp,0
clauoliveramvd,16
parabel36160045,0
mica_bezonas,2
mariagouy,0
nahuelogas,0
miriamrod61,3
xiomara_d14z,0
jonatha91420907,0
gera_nunez1001,0
jimmyproton8,0
alonnnsozoe,0
tamatane1,0
guyunusa8,4
alerodrig21,0
jeperipingopos1,11
oberonsixsixsix,0
jfaeste,0
agrinigue,0
serra_sur,0
darwincanelones,0
nacho72368312,1
leagrille,1
marioluiscabra1,1
lausala58,0
gallineta_negra,0
danielortiz642,2
mariela9570,0
francocarlosac1,0
anarosso15,0
sofibenitez2906,2
brunojabib,1
marcosrsocram,0
silviamars2,0
tete1905,14
jorgepe89015846,1
giovann36431951,1
walterbuffa1,0
tallerdelucas,0
chcarreraleal,0
victorr63713304,1
abrahan12903343,0
wolfauror,1
jeb15978927,0
luismi_mh,0
julietazidan,0
mppcanelones,2
maryege,2
ebraquett,0
sandrainesrozo,0
alegianakis,1
bamj16,0
jlpz65,0
bancadacyan,0
milagroscenizo2,0
bozzanogervasio,0
asunmerineros,0
argentino_junin,0
lahuellasv,0
km2pe,0
gragasaki,0
reclamos,1
leonardomagno_4,3
visor_21,0
_vicecxptain,0
sofonisba20,0
pacotejera,1
waldenmacnair1,2
5plexo91,0
junerguzman,0
beaconsecuente,2
marciomar1992,0
susana_zz,0
veronicarf1212,9
kamba_lucy,5
marioschzgarcia,0
sergio_antonoff,0
luagazarian,3
cupertina54,1
roedmacr,0
verododera,0
lsiritto,0
alejojojo69,0
fedespot,0
francopereira29,0
sandrarossanag1,0
alfreassanelli,0
jaimenievesdiz,0
